Q9NXB0	MKS1
P01024	C3
P01023	A2M
Q12800	TFCP2
M0R1M6	UBA52
Q2YD98	UVSSA
Q12805	EFEMP1
Q12802	AKAP13
Q9UP38	FZD1
Q12809	KCNH2
B2RN74	OR11H12
P13010	XRCC5
O43463	SUV39H1
O43462	MBTPS2
M0R1L7	CHMP2A
P40617	ARL4A
O43464	HTRA2
Q12815	TROAP
Q2YD84	CXCR5
Q5TCQ9	MAGI3
A5PKW4	PSD
P40616	ARL1
P27658	COL8A1
Q9BYX4	IFIH1
Q9BYX2	TBC1D2
O43555	GNRH2
Q9BYX7	POTEKP
Q9BZ95	NSD3
O43559	FRS3
J3KNP4	SEMA4B
O43557	TNFSF14
Q9UPN4	CEP131
B3KT66	PSMD6
O43556	SGCE
Q9UPN3	MACF1
Q9UPN9	TRIM33
Q9UPN7	PPP6R1
Q6P1R0	EIF3A
Q5TDH0	DDI2
J3KNP2	TBL3
Q6P1R4	DUS1L
H0YLC2	PSMA4
O43561	LAT
Q9BYW2	SETD2
B3KT70	cDNA FLJ37767 fis, clone BRHIP2024911, highly similar to Homo sapiens hexokinase domain containing 1
H0YLC0	TNFAIP2
P04920	SLC4A2
O43566	RGS14
P04921	GYPC
Q9UQ07	MOK
Q9UQ05	KCNH4
O43567	RNF13
Q9BYV9	BACH2
Q9BYV8	CEP41
Q9BYV2	TRIM54
Q9BYV6	TRIM55
Q9BZ76	CNTNAP3
Q9UQ13	SHOC2
Q9UPP1	PHF8
C9J7E5	TNPO3
Q9UQ16	DNM3
M0R102	EXOSC5
A0A0G2JNZ2	SCRIB
Q9BYU1	PBX4
H0YLE8	IQGAP1
O43543	XRCC2
Q9UPQ4	TRIM35
O43542	XRCC3
B3KSX6	cDNA FLJ37250 fis, clone BRAMY2006809, highly similar to DNA polymerase subunit alpha B {ECO:0000313
O43541	SMAD6
Q9UPQ9	TNRC6B
O43548	TGM5
M0R0N4	AP2S1
C9JYI4	KPNA1
Q9UPQ7	PDZRN3
Q9UQ26	RIMS2
P04908	HIST1H2AB
Q6P1Q0	LETMD1
J3KNQ3	PSMD13
J3KNQ4	PARVA
Q9BYT8	NLN
Q6P1Q5	ARCN1
Q9BYT9	ANO3
O43511	SLC26A4
B3KT21	cDNA FLJ37476 fis, clone BRAWH2012827, highly similar to Homo sapiens BH3 interacting domain death a
O43513	MED7
O43516	WIPF1
Q71SY5	MED25
B4DYU9	cDNA FLJ60060, highly similar to Origin recognition complex subunit 2 {ECO:0000313|EMBL:BAG63861.1}
E0YMI7	HNF1A
O43521	BCL2L11
O43520	ATP8B1
P16949	STMN1
O43526	KCNQ2
Q32MZ4	LRRFIP1
O43525	KCNQ3
O43524	FOXO3
B3KT37	cDNA FLJ37577 fis, clone BRCOC2003513, moderately similar to 14-3-3 protein epsilon (14-3-3E) {ECO:0
B3KT28	FAF1
Q8NAC3	IL17RC
Q8NAC4	cDNA FLJ35587 fis, clone SPLEN2007350 {ECO:0000313|EMBL:BAC04000.1}
Q9BYZ6	RHOBTB2
H0YLB0	PBX1
B3KT41	SV2C
Q9BYZ2	LDHAL6B
Q8NAB2	KBTBD3
Q9BYY5	CREM
C9J7B7	PSMD6
O43504	LAMTOR5
O43502	RAD51C
O43508	TNFSF12
Q9UPM9	B9D1
Q9UPM8	AP4E1
O43506	ADAM20
O43505	B4GAT1
Q9UPM6	LHX6
P28907	CD38
P28908	TNFRSF8
P28906	CD34
B4DZ95	cDNA FLJ54570, highly similar to 2-oxoglutarate dehydrogenase E1 component, mitochondrial (EC 1.2.4.
Q8NAA4	ATG16L2
Q6P1J9	CDC73
B4DYQ6	cDNA FLJ51579, highly similar to Calcineurin subunit B isoform 2 {ECO:0000313|EMBL:BAG63818.1}
B4DZ22	cDNA FLJ54042, highly similar to ATP-binding cassette sub-family D member 3 {ECO:0000313|EMBL:BAG639
D3DTD2	TRIO
B4DYQ1	cDNA FLJ57671, highly similar to SWI/SNF-related matrix-associated actin-dependent regulator of chro
J3KNG4	SCFD1
Q6P1K8	GTF2H2C
Q8NA72	POC5
B3KSM5	cDNA FLJ36603 fis, clone TRACH2015180, highly similar to Secreted frizzled-related protein 2 {ECO:00
F8WAM2	CCT7
Q9BYN8	MRPS26
Q9BYN7	ZNF341
B3KSM6	cDNA FLJ36606 fis, clone TRACH2015654, highly similar to HEAT SHOCK 70 kDa PROTEIN 6 {ECO:0000313|EM
B4DZ33	cDNA FLJ57817, highly similar to Homeodomain-interacting protein kinase 1 (EC 2.7.11.1) {ECO:0000313
B4DYR6	cDNA FLJ56381, highly similar to Dynamin-1-like protein (EC 3.6.5.5) {ECO:0000313|EMBL:BAG63828.1}
Q9UPG8	PLAGL2
Q32MM7	PDE4C
Q9BYN0	SRXN1
Q6P1K2	PMF1
A5PLN9	TRAPPC13
Q5XPI4	RNF123
Q0VGL1	LAMTOR4
Q9BYM8	RBCK1
Q32MN7	TBP
A5PLM5	EXOSC9
B4DYT1	cDNA FLJ60977, highly similar to CDC45-related protein {ECO:0000313|EMBL:BAG63843.1}
B4DYT3	cDNA FLJ59074, highly similar to Transcription initiation factor TFIID 105 kDa subunit {ECO:0000313|
P52597	HNRNPF
Q32MQ0	ZNF750
P52594	AGFG1
Q9BYT3	STK33
Q9BYT1	SLC17A9
A5PLL0	CPT1B
B3KSH0	cDNA FLJ36190 fis, clone TESTI2027271, highly similar to N6-adenosine-methyltransferase 70 kDa subun
P63244	RACK1
B3KSH1	EIF3F
P63241	EIF5A
Q6P1N0	CC2D1A
Q6E213	AWAT2
H0YKV4	FAM96A
M0R0Y3	RUVBL2
M0R0Y2	NAPA
P63252	KCNJ2
Q9BYR6	KRTAP3-3
Q9BYR5	KRTAP4-2
H0YL72	IDH3A
Q9BYR7	KRTAP3-2
Q6P1L8	MRPL14
Q6P1L6	ZNF343
Q9BYR0	KRTAP4-7
R4GNH9	EXOSC1
P63267	ACTG2
P63261	ACTG1
F8WAL6	ABI2
Q9BYQ5	KRTAP4-6
Q9BYQ4	KRTAP9-2
C9JXZ7	RFC4
Q9BYQ2	KRTAP9-4
Q9BZ29	DOCK9
R4GNH3	PSMC3
Q9BYQ6	KRTAP4-11
B4DYP9	cDNA FLJ59100, highly similar to Cell division cycle protein 20 homolog {ECO:0000313|EMBL:BAG63811.1
Q9UPE1	SRPK3
B3KSK2	cDNA FLJ36470 fis, clone THYMU2015918, highly similar to Nucleotide-binding protein-like {ECO:000031
P63279	UBE2I
P63272	SUPT4H1
Q6P1M3	LLGL2
Q9BYP7	WNK3
H0YL95	AP4E1
Q6P1M2	NCKAP1L
Q6P1M0	SLC27A4
P49146	NPY2R
P52790	HK3
P51460	INSL3
P52799	EFNB2
P52797	EFNA3
P52798	EFNA4
P0CG04	IGLC1
Q2UY09	COL28A1
B3KUH0	cDNA FLJ39883 fis, clone SPLEN2016268, highly similar to Protein CHMP7 {ECO:0000313|EMBL:BAG53432.1}
P13196	ALAS1
P49137	MAPKAPK2
D2CVN5	AIP
P25189	MPZ
A0A0C4DH73	IGKV1-12
A0A0C4DH72	IGKV1-6
P50148	GNAQ
A0A0C4DGV4	LAMTOR5
P38484	IFNGR2
P01189	POMC
K7EQ16	RAD23A
P50150	GNG4
P50151	GNG10
A0A024RB10	CDK2
Q9BXC9	BBS2
Q9BXC0	HCAR1
A0A024RAP8	HCG2009644, isoform CRA_b {ECO:0000313|EMBL:EAW96182.1}
Q6LES9	RFC5
H0YJS8	PSMC6
H0YJS6	SCFD1
P49116	NR2C2
P62136	PPP1CA
H0YJS0	ATP6V1D
A0A024RAP9	HCG2009644, isoform CRA_a {ECO:0000313|EMBL:EAW96183.1}
R4GMQ7	EXOSC1
Q6LEU0	STX12
A0A0C4DGX4	CUL1
P62140	PPP1CB
Q9BXB1	LGR4
C9J634	PDHB
K7EPR7	UBE2G1
P0CG47	UBB
A0PJJ7	NOS1
P0CG40	SP9
P52757	CHN2
P52756	RBM5
P0CG48	UBC
Q9BXI6	TBC1D10A
B3KUD3	cDNA FLJ39583 fis, clone SKMUS2004897, highly similar to ACTIN, ALPHA SKELETAL MUSCLE {ECO:0000313|E
A0PJJ0	LLGL2
C9JWN1	DHTKD1
B3KUD7	cDNA FLJ39640 fis, clone SMINT2003386, highly similar to DNA REPLICATION LICENSING FACTOR MCM7 {ECO:
Q9UNW8	GPR132
P37198	NUP62
H0YJL0	KLC1
B3KUE2	cDNA FLJ39664 fis, clone SMINT2007219, highly similar to SH2 domain-containing protein 3C {ECO:00003
Q9BXH1	BBC3
Q9UNX4	WDR3
Q9UNX3	RPL26L1
Q9UNX9	KCNJ14
Q12768	WASHC5
Q12766	HMGXB3
P51449	RORC
Q12769	NUP160
P0CG29	GSTT2
Q9BXG8	SPZ1
B3KUF4	GATA4
Q12770	SCAP
Q9UNY4	TTF2
Q5TC79	ZBTB37
Q12774	ARHGEF5
P51452	DUSP3
P51451	BLK
P50120	RBP2
Q12772	SREBF2
Q12778	FOXO1
P0CG30	GSTT2B
R4GMM2	PARD6A
Q5TC82	RC3H1
Q6KC79	NIPBL
P52789	HK2
P0CG37	CFC1
Q9BXF3	CECR2
P37173	TGFBR2
Q9BXF6	RAB11FIP5
Q9UNZ2	NSFL1C
A8MT33	SYCE1L
B0QY21	NUP50
P02452	COL1A1
H0YJH9	PABPN1
K7EPH2	FARSA
H0YJH8	ATP6V1D
A0A024RAE6	CDC42
P38405	GNAL
A0PJF5	PTGER4
A0PJF8	RPS6KA4
Q00796	SORD
B5BNW5	KCNMB2
J9Z661	VHL
P01116	KRAS
Q9UNS1	TIMELESS
P01112	HRAS
P01111	NRAS
P25101	EDNRA
Q9UNS2	COPS3
P25100	ADRA1D
K7EPG4	ATP6V0A1
Q6P084	MAP3K2
P01106	MYC
Q9UNT1	RABL2B
P01100	FOS
B3KUB8	cDNA FLJ39539 fis, clone PUAEN2008228, highly similar to Platelet glycoprotein 4 {ECO:0000313|EMBL:B
Q499G6	GTF2I
Q499G7	MAPK1
H6WA46	PTEN
A0PJH2	ATP5H
P14416	DRD2
P52737	ZNF136
P52738	ZNF140
P52735	VAV2
P14415	ATP1B2
P52736	ZNF133
H0YJJ8	EIF2B2
P52732	KIF11
Q6P050	FBXL22
P52739	ZNF131
P01138	NGF
P01137	TGFB1
M0R0G9	SNRPA
P01135	TGFA
P01133	EGF
B3KUB5	cDNA FLJ39527 fis, clone PUAEN2003116, highly similar to Homo sapiens stromal interaction molecule 2
P02462	COL4A1
Q9UNU6	CYP8B1
P52741	ZNF134
P02461	COL3A1
P01130	LDLR
A8MT69	CENPX
H0YJI3	AP4S1
P52747	ZNF143
P52744	ZNF138
P02458	COL2A1
P01127	PDGFB
C9JWM1	RUNX1
D6RJ86	SNF8
O43593	HR
O43592	XPOT
M0R0I4	NAPA
Q9UNN4	GTF2A1L
P01160	NPPA
O43597	SPRY2
Q9UNN8	PROCR
Q9BXA5	SUCNR1
Q9UNN5	FAF1
A0PJB2	CDT1
Q9BXA9	SALL3
C9JWF0	SMC4
P02489	CRYAA
Q5TC12	ATPAF1
P40763	STAT3
H0YJC4	PSMA6
P37108	SRP14
A0PJA6	TF
H0YJC0	PSMC6
P38435	GGCX
P13164	IFITM1
Q6LER4	Porphobilinogen deaminase {ECO:0000313|EMBL:BAA01463.1}
O78208	Protein 41 {ECO:0000313|EMBL:AAA35996.1}
P01148	GNRH1
P27797	CALR
P26441	CNTF
O43572	AKAP10
P01185	AVP
Q5MNZ9	WIPI1
Q9UNP9	PPIE
D6RIY6	EXOSC9
R4GN72	ATP6V0D1
P25106	ACKR3
P26439	HSD3B2
P25103	TACR1
P01178	OXT
P25105	PTAFR
P26436	ACRV1
Q9UNQ2	DIMT1
O43583	DENR
R4GMU7	RPL7L1
O43581	SYT7
Q9UNQ0	ABCG2
O43586	PSTPIP1
P39748	FEN1
P52701	MSH6
R4GN62	PARD3B
Q00722	PLCB2
P25116	F2R
P26447	S100A4
Q32M45	ANO4
B3KTW0	cDNA FLJ38844 fis, clone MESAN2003662, highly similar to Cullin-1 {ECO:0000313|EMBL:BAG53222.1}
O43670	ZNF207
Q9BY71	LRRC3
Q9BY77	POLDIP3
O43676	NDUFB3
Q9BY76	ANGPTL4
O43674	NDUFB5
B3KU84	cDNA FLJ39327 fis, clone OCBBF2015506, highly similar to Mus musculus FAT tumor suppressor homolog 4
Q9BXV5	Arp2/3 complex 34 kDa subunit {ECO:0000256|RuleBase:RU364015}
O43679	LDB2
O43678	NDUFA2
O43677	NDUFC1
C3S3G0	Caspase 8 short isoform {ECO:0000313|EMBL:ACF93415.1}
Q9BXU7	USP26
Q9BY67	CADM1
O43683	BUB1
Q9BXU0	TEX12
O43681	ASNA1
O43680	TCF21
Q9BY66	KDM5D
Q9BY64	UGT2B28
O43684	BUB3
O43688	PLPP2
J3KP27	TRAPPC4
Q6P0Q8	MAST2
Q9BXT6	MOV10L1
Q9BY50	SEC11C
Q9BXT5	TEX15
Q9BXT4	TDRD1
O43653	PSCA
B3KTY3	CCND3
Q9BXT2	CACNG6
O43657	TSPAN6
H0YKD0	IDH3A
Q6P0N0	MIS18BP1
J9JIF5	CXXC4
Q9BXS6	NUSAP1
Q9BXS5	AP1M1
Q9BXS9	SLC26A6
Q9BXS0	COL25A1
O43660	PLRG1
Q32M78	ZNF699
O43665	RGS10
Q9BY44	EIF2A
Q9BXS4	TMEM59
Q9BY43	CHMP4A
O43663	PRC1
Q9BY41	HDAC8
C9JXG8	RANBP1
Q9BXR7	Interleukin 10 {ECO:0000313|EMBL:AAK19173.1}
Q9BXR6	CFHR5
Q9BXR5	TLR10
P98077	SHC2
O43633	CHMP2A
O43639	NCK2
B3KTS5	cDNA FLJ38670 fis, clone HSYRA2000190, highly similar to Voltage-dependent anion-selective channel p
D1LUZ6	RUNX1/C20orf112 fusion
B3KU45	cDNA FLJ39186 fis, clone OCBBF2004482, highly similar to Cullin-1 {ECO:0000313|EMBL:BAG53307.1}
O43638	FOXS1
D1LUZ4	RUNX1/CBFA2T2 fusion
P27708	CAD
Q9MY34	HLAC
P27707	DCK
B4DZW4	Polyadenylate-binding protein {ECO:0000256|RuleBase:RU362004}
P98082	DAB2
P27701	CD82
P98088	MUC5AC
Q9BXY4	RSPO3
Q09161	NCBP1
Q09160	HLA-A
Q9BXY8	BEX2
P15735	PHKG2
B3KTT5	cDNA FLJ38698 fis, clone KIDNE2002015, highly similar to HEAT SHOCK 70 kDa PROTEIN 1 {ECO:0000313|EM
Q9BXY0	MAK16
B3KU49	CPT1C
Q6P164	KIF5B
A0PJY2	FEZF1
Q6P161	MRPL54
P98095	FBLN2
Q6P169	SMC4
C9JXB8	RPL24
O43610	SPRY3
O43614	HCRTR2
O43613	HCRTR1
M0R027	NAPA
Q32LY2	HAND2
O43612	HCRT
O43617	TRAPPC3
O43615	TIMM44
Q9BXW9	FANCD2
Q9BY84	DUSP16
P98066	TNFAIP6
Q9BXW4	MAP1LC3C
Q9BXW6	OSBPL1A
O43623	SNAI2
F8WBE1	PMPCB
Q9BY78	RNF26
Q12789	GTF3C1
Q12788	TBL3
P62081	RPS7
D3DSB5	MAP4K5
F8WBQ1	ICA1L
B3KTN6	cDNA FLJ38544 fis, clone HCHON2001598, highly similar to Integrin alpha-11 {ECO:0000313|EMBL:BAG5314
Q9BXM7	PINK1
M0R050	EXOSC5
K7EP88	SEH1L
B4DZS0	DFFB
H0YJY1	SCFD1
Q12792	TWF1
Q12791	KCNMA1
Q12796	PNRC1
Q12797	ASPH
Q12794	HYAL1
Q12798	CETN1
P0CF74	IGLC6
O43603	GALR2
O43602	DCX
Q9BXL7	CARD11
O43609	SPRY1
Q9BXL6	CARD14
B4DZT5	cDNA FLJ53116, highly similar to T-complex protein 1 subunit epsilon {ECO:0000313|EMBL:BAG64197.1}
A0PJU8	FANCA
H0YK95	AP4E1
H0YK94	AP4E1
Q460N5	PARP14
Q460N3	PARP15
C9J5Z0	ICA1L
P0DI81	TRAPPC2
P0DI82	TRAPPC2B
Q9BXK1	KLF16
Q6R6M4	USP17L2
M0R058	NAPA
Q9BXJ7	AMN
M0R061	COPE
Q9BXJ9	NAA15
Q9BXJ1	C1QTNF1
P50052	AGTR2
Q9BXR0	QTRT1
Q499Z4	ZNF672
H0YJU9	KLC1
H0YJU0	PPP2R5C
P51397	DAP
P51398	DAP3
Q9BXP5	SRRT
Q9BY14	TEX101
H0YJT1	PSMC6
Q9BXP8	PAPPA2
Q9BY11	PACSIN1
Q9BY10	SLC46A2
B4DZQ9	cDNA FLJ61193, highly similar to Bcl2 antagonist of cell death {ECO:0000313|EMBL:BAG64171.1}
A7XYQ1	SOBP
P0CF97	FAM200B
P62070	RRAS2
P62072	TIMM10
N0E466	CSNK2B
B3KTM4	cDNA FLJ38492 fis, clone FEHRT2000325, highly similar to Phosphatidylinositol 4-kinase alpha (EC 2.7
Q0VG06	FAAP100
Q9BXN2	CLEC7A
B2RNI9	OR51M1
Q9BXN1	ASPN
Q96TA0	PCDHB18P
Q9UMX9	SLC45A2
Q96TA2	YME1L1
Q96TA1	FAM129B
P52434	POLR2H
P52435	POLR2J
P15498	VAV1
B0QZ36	RAE1
B0QZ35	SIRT1
H3BV99	SNAP23
B3KVJ5	cDNA FLJ16648 fis, clone TESTI4035508, highly similar to Structural maintenance of chromosomes 4-lik
Q9UMY4	SNX12
H3BV90	CIAPIN1
P28799	GRN
P27487	DPP4
P27482	CALML3
P53778	MAPK12
P53779	MAPK10
P51114	FXR1
P38117	ETFB
P51116	FXR2
P14174	MIF
B3KVK5	Histone deacetylase {ECO:0000256|SAAS:SAAS00894283}
Q9UMZ2	SYNRG
Q9NZH0	GPRC5B
Q9NZH5	PTTG2
Q9NZH6	IL37
Q9NZH7	IL36B
Q9NZH8	IL36G
A0A0G2JMH6	HLA-DRA
Q13936	CACNA1C
P14138	EDN3
P14136	GFAP
Q6ZMZ0	RNF19B
P40429	RPL13A
A8MTQ0	NOTO
P27449	ATP6V0C
P40426	PBX3
P63104	YWHAZ
P40425	PBX2
P40424	PBX1
P27448	MARK3
Q9NZI2	KCNIP1
Q5TAP6	UTP14C
Q9NZI6	TFCP2L1
Q9NZI7	UBP1
Q9NZI8	IGF2BP1
C9J8Y3	ICA1
Q13948	CUX1
H0YJ08	AP1G2
A0A0G2JMI3	IGHV1-69-2
H0YIP2	PRIM1
H3BUW1	PKM
A0A1C7CYX0	EXOC3L2
Q5TAQ9	DCAF8
P14151	SELL
K7EQT1	FZR1
Q3B8N5	PROX2
Q9NZJ0	DTL
P41743	PRKCI
Q9NZJ4	SACS
Q9NZJ5	EIF2AK3
C9J999	KLHL10
Q13952	NFYC
Q13951	CBFB
Q13950	RUNX2
Q13956	PDE6H
Q96TE0	Cdk inhibitor p27KIP1 {ECO:0000313|EMBL:AAF88142.1}
Q6KB66	KRT80
Q9BWG4	SSBP4
Q6ZNA4	RNF111
B3KVF0	DNA helicase {ECO:0000256|SAAS:SAAS00536514}
X6R5E5	UBAC2
Q5TB80	CEP162
Q9UN67	PCDHB10
Q9UN66	PCDHB8
Q9NZC2	TREM2
Q9NZC4	EHF
P26196	DDX6
Q9NZC7	WWOX
Q9NZC9	SMARCAL1
P38159	RBMX
Q9BWF4	MCM2
Q9BWF3	RBM4
Q9BWF2	TRAIP
Q6ZNB6	NFXL1
Q9UN71	PCDHGB4
B3KVG3	cDNA FLJ16519 fis, clone NT2RI3007684, highly similar to Prickle-like protein 1 {ECO:0000313|EMBL:BA
Q9UN70	PCDHGC3
Q9UN75	PCDHA12
Q9UN74	PCDHA4
Q9UN73	PCDHA6
Q9UN72	PCDHA7
Q9UN79	SOX13
O43298	ZBTB43
Q13972	RASGRF1
O43295	SRGAP3
Q9NZD4	AHSP
Q13976	PRKG1
O43299	AP5Z1
X5D2F4	CYFIP1
A4F5N1	HLA-DRB1
Q96TC7	RMDN3
H3BV30	AP1G1
Q5TAT6	COL13A1
B3KVH4	cDNA FLJ16549 fis, clone PLACE7003657, highly similar to RAC-alpha serine/threonine-protein kinase (
B3KVH9	cDNA FLJ16571 fis, clone TESOP2002804, highly similar to Transforming growth factor beta-3 {ECO:0000
Q9UN86	G3BP2
Q9UN88	GABRQ
Q9UMW8	USP18
Q5UE93	PIK3R6
Q9NZE8	MRPL35
P52429	DGKE
Q9BWD1	ACAT2
Q9UMX3	BOK
Q9UMX2	OAZ3
Q9UMX1	SUFU
Q9UMX0	UBQLN1
Q9UMX6	GUCA1B
Q9NZF1	PLAC8
Q6ZN55	ZNF574
Q6ZMT4	KDM7A
Q6ZN54	DEF8
O43278	SPINT1
Q6ZMT9	DTHD1
P15408	FOSL2
P15407	FOSL1
Q09019	DMWD
Q9UN19	DAPP1
Q96T92	INSM2
Q96T91	GPHA2
Q09013	DMPK
C9J8M3	RFC4
Q96T88	UHRF1
Q96SW2	CRBN
C9J8M6	MCM7
P28715	ERCC5
O43283	MAP3K13
B3KVB3	cDNA FLJ16332 fis, clone SYNOV2016837, highly similar to Sphingosine kinase 1 (EC 2.7.1.-) {ECO:0000
O43281	EFS
O43286	B4GALT5
Q9UMQ3	BARX2
Q6ZMU5	TRIM72
Q9UMQ6	CAPN11
H3BV19	CSNK2A2
Q0Q5F0	CTLA4
Q96T76	MMS19
H3BV22	PPP4C
Q01995	TAGLN
O43290	SART1
O43294	TGFB1I1
O43293	DAPK3
O43292	GPAA1
B3KVC6	cDNA FLJ16395 fis, clone TRACH2024139, highly similar to DNA polymerase eta (EC 2.7.7.7) {ECO:000031
O43291	SPINT2
P04731	MT1A
O43252	PAPSS1
Q9UMR3	TBX20
P04732	MT1E
O43251	RBFOX2
P04733	MT1F
Q9UMR2	DDX19B
O43257	ZNHIT1
Q9UN37	VPS4A
O43255	SIAH2
Q9UN36	NDRG2
Q01991	Dihydrolipoamide S-acetyltransferase {ECO:0000313|EMBL:CAA32052.1}
Q9BVX2	TMEM106C
Q00653	NFKB2
C9JZR7	ACTB
Q96T66	NMNAT3
Q96T60	PNKP
P53708	ITGA8
A8MTY9	DSCR3
Q9UN42	ATP1B4
Q96T68	SETDB2
Q9UMS0	NFU1
B3KVD6	cDNA FLJ16433 fis, clone BRACE3013936, highly similar to Cell death activator CIDE-B {ECO:0000313|EM
P02100	HBE1
O43264	ZW10
Q9BVW5	TIPIN
Q9UMS5	PHTF1
Q9UMS4	PRPF19
Q6ZN44	UNC5A
Q9BW83	IFT27
H3BUN9	AP1G1
Q6ZMS7	ZNF783
Q01974	ROR2
Q96ST3	SIN3A
Q96T53	MBOAT4
Q01970	PLCB3
Q96ST2	IWS1
Q96T52	IMMP2L
Q96T51	RUFY1
Q01973	ROR1
Q4KMX6	ANAPC7
Q96ST8	CEP89
Q96T58	SPEN
P28702	RXRB
C9J911	CDC45
P04798	CYP1A1
O43236	SEPT4
O43237	DYNC1LI2
Q9NYY1	IL20
Q9NYY3	PLK2
K7ER00	FARSA
Q01968	OCRL
P41732	TSPAN7
O43242	PSMD3
O43240	KLK10
Q9NYZ1	TVP23B
O43248	HOXC11
Q9UMM5	Calcineurin catalytic subunit {ECO:0000313|EMBL:AAA35634.1}
Q9NYZ3	GTSE1
Q9NYZ4	SIGLEC8
A8MTZ0	BBIP1
Q01954	BNC1
Q01955	COL4A3
Q01959	SLC6A3
Q6ZMV8	ZNF730
P15428	HPGD
Q96SZ4	ZSCAN10
Q9UMN6	KMT2B
Q8WZA1	POMGNT1
Q8WZA2	RAPGEF4
H3BUI0	IST1
Q00613	HSF1
Q00610	CLTC
P02144	MB
Q13901	C1D
Q13905	RAPGEF1
Q96SY0	INTS14
Q13907	IDI1
A0A024RDQ5	GTF3A
Q6DN90	IQSEC1
P28749	RBL1
Q00604	NDP
P04792	HSPB1
K7ER16	FARSA
Q9BWT1	CDCA7
Q9BX51	GGTLC1
O43313	ATMIN
Q9BWT6	MND1
O19682	HLA-E
O43312	MTSS1
O43316	PAX4
O43314	PPIP5K2
O43318	MAP3K7
Q9NZW4	DSPP
Q9NZW5	MPP6
O43320	FGF16
Q9BX40	LSM14B
O43324	EEF1E1
Q9UNK0	STX8
O43323	DHH
Q9UNK4	PLA2G2D
O19691	HLA-B
K7EQA9	CDC37
Q9UNL2	SSR3
K7EQD6	NSF
Q9UNL4	ING4
M0R2S1	UBA52
O94804	STK10
Q9BX26	SYCP2
O94805	ACTL6B
O94808	GFPT2
O94806	PRKD3
Q9BWQ8	FAIM2
Q6ZNK6	TIFAB
O94811	TPPP
O94812	BAIAP3
O94810	RGS11
O43306	ADCY6
Q9UNM7	26S proteasome subunit p40.5 {ECO:0000313|EMBL:AAD43441.1}
Q9UNM6	PSMD13
J3KQ69	MCM3
O43303	CCP110
Q5TBB1	RNASEH2B
Q9NZZ3	CHMP5
O43309	ZSCAN12
O43307	ARHGEF9
O94813	SLIT2
O94819	KBTBD11
Q9BWP8	COLEC11
O94817	ATG12
Q9BWX5	GATA5
Q9BX93	PLA2G12B
O94822	LTN1
P63092	GNAS
Q9UNF0	PACSIN2
C9J9C1	PPP2R1A
Q3LXA3	TKFC
A0A0G2JM58	CSNK2B
Q9NZS2	KLRF1
J3KPX7	PHB2
O94826	TOMM70
O94827	PLEKHG5
Q9NZS9	BFAR
O94829	IPO13
O94830	DDHD2
Q9BWW4	SSBP3
Q9BWW7	SCRT1
O94832	MYO1D
B3KUV9	cDNA FLJ40739 fis, clone TKIDN2004748, highly similar to Mitogen-activated protein kinase 12 {ECO:00
Q9UNG2	TNFSF18
Q9NZT1	CALML5
P63096	GNAI1
P63098	PPP3R1
Q9BX79	STRA6
Q9BX72	IFP38
Q9BWV1	BOC
O94844	RHOBTB1
K7EQH4	ATP5A1
Q9BWV0	Cyclin B1 {ECO:0000313|EMBL:AAK27417.1}
Q9UNH6	SNX7
Q9BX70	BTBD2
Q9UNH5	CDC14A
C9J9E4	SMC4
Q9NZU0	FLRT3
Q9NZU1	FLRT1
Q9UNH7	SNX6
Q9NZU5	LMCD1
Q9BX69	CARD6
Q9BX68	HINT2
Q9BX63	BRIP1
Q9BWU1	CDK19
O94855	SEC24D
Q9BX67	JAM3
Q9BX66	SORBS1
O94856	NFASC
Q9UNI1	CELA1
Q09028	RBBP4
Q9UNI6	DUSP12
Q9NZV1	CRIM1
Q9NZV6	MSRB1
Q9NZV7	ZIM2
Q9NZV8	KCND2
Q00688	FKBP3
Q9BWT7	CARD10
Q6Q2I7	PARK2
O94864	SUPT7L
B0QY90	EIF3L
Q6ZNE5	ATG14
H0YJ82	ABCD4
H0YIW2	ANAPC7
Q6ZNE1	EIF3A
O94874	UFL1
Q6H8Q1	ABLIM2
O94875	SORBS2
X5D2G4	DRD3
H0YJ78	ABCD4
Q9BWJ5	SF3B5
Q9NZP0	OR6C3
P40394	ADH7
Q9NZP2	OR6C2
H0YIV0	HSP90B1
Q9NZP5	OR5AC2
Q9NZP6	NPAP1
Q9NZP8	C1RL
H0YJ75	PPP2R5C
O94885	SASH1
O94888	UBXN7
O94889	KLHL18
Q5TAX3	ZCCHC11
O94887	FARP2
B3KV41	cDNA FLJ16101 fis, clone TESTI2014780, highly similar to Homo sapiens minichromosome maintenance def
B3KUS2	cDNA FLJ40505 fis, clone TESTI2045562, highly similar to HEAT SHOCK-RELATED 70 kDa PROTEIN 2 {ECO:00
O94880	PHF14
J3KPN7	RAD9B
Q9NZQ0	DNAJC27
Q9NZQ3	NCKIPSD
O19617	HLA-C
Q9NZQ7	CD274
O94892	ZNF432
Q9UNE2	RPH3AL
Q9UNE0	EDAR
Q9UNE7	STUB1
Q9BWH6	RPAP1
Q9NZR2	LRP1B
Q9NZR4	VSX1
Q9NZR9	EIF4A1
Q9NZJ6	COQ3
Q9NZJ7	MTCH1
A8MTJ3	GNAT3
P53680	AP2S1
H0YJ49	PPP2R5C
H0YJ47	AP1G2
P63000	RAC1
Q9NZK5	ADA2
